Airport Code,Airport Name,City
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta
BDL,Bradley International Airport,Hartford
BFI,Boeing Field King County International Airport,Seattle
BHM,Birmingham-Shuttlesworth International Airport,Birmingham
BNA,Nashville International Airport,Nashville
BOS,General Edward Lawrence Logan International Airport,Boston
BUF,Buffalo Niagara International Airport,Buffalo
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore
BYH,Arkansas International Airport,Blytheville
CHS,Charleston Air Force Base-International Airport,Charleston
CLE,Cleveland Hopkins International Airport,Cleveland
CLT,Charlotte Douglas International Airport,Charlotte
CMH,John Glenn Columbus International Airport,Columbus
CRP,Corpus Christi International Airport,Corpus Christi
CTB,Cut Bank International Airport,Cut Bank
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati
DAB,Daytona Beach International Airport,Daytona Beach
DAY,James M Cox Dayton International Airport,Dayton
DEN,Denver International Airport,Denver
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth
DLH,Duluth International Airport,Duluth
DSM,Des Moines International Airport,Des Moines
DUG,Bisbee Douglas International Airport,Douglas Bisbee
ECP,Northwest Florida Beaches International Airport,Panama City Beach
EFK,Northeast Kingdom International Airport,Newport
EWR,Newark Liberty International Airport,Newark
EYW,Key West International Airport,Key West
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale
FTW,Fort Worth Meacham International Airport,Fort Worth
GRB,Austin Straubel International Airport,Green Bay
GSO,Piedmont Triad International Airport,Greensboro
HNL,Daniel K Inouye International Airport,Honolulu
HSV,Huntsville International Carl T Jones Field,Huntsville
IAD,Washington Dulles International Airport,Washington
IAG,Niagara Falls International Airport,Niagara Falls
IFP,Laughlin Bullhead International Airport,Bullhead City
IND,Indianapolis International Airport,Indianapolis
JAX,Jacksonville International Airport,Jacksonville
LAS,McCarran International Airport,Las Vegas
LAX,Los Angeles International Airport,Los Angeles
LCK,Rickenbacker International Airport,Columbus
MCI,Kansas City International Airport,Kansas City
MCO,Orlando International Airport,Orlando
MDW,Chicago Midway International Airport,Chicago
MEM,Memphis International Airport,Memphis
MIA,Miami International Airport,Miami
MKE,General Mitchell International Airport,Milwaukee
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis
MSY,Louis Armstrong New Orleans International Airport,New Orleans
MYR,Myrtle Beach International Airport,Myrtle Beach
OAK,Metropolitan Oakland International Airport,Oakland
OGS,Ogdensburg International Airport,Ogdensburg
ORD,Chicago O'Hare International Airport,Chicago
PBG,Plattsburgh International Airport,Plattsburgh
PBI,Palm Beach International Airport,West Palm Beach
PDX,Portland International Airport,Portland
PHL,Philadelphia International Airport,Philadelphia
PHX,Phoenix Sky Harbor International Airport,Phoenix
PIT,Pittsburgh International Airport,Pittsburgh
PSP,Palm Springs International Airport,Palm Springs
PWM,Portland International Jetport Airport,Portland
RDU,Raleigh Durham International Airport,Raleigh/Durham
RIC,Richmond International Airport,Richmond
ROC,Greater Rochester International Airport,Rochester
SAN,San Diego International Airport,San Diego
SAT,San Antonio International Airport,San Antonio
SEA,Seattle Tacoma International Airport,Seattle
SFB,Orlando Sanford International Airport,Orlando
SFO,San Francisco International Airport,San Francisco
SJC,Norman Y. Mineta San Jose International Airport,San Jose
SLC,Salt Lake City International Airport,Salt Lake City
SMF,Sacramento International Airport,Sacramento
STL,St Louis Lambert International Airport,St Louis
TPA,Tampa International Airport,Tampa
TUL,Tulsa International Airport,Tulsa
TUS,Tucson International Airport,Tucson
