,Airport,Price,Airport Name,City
0,ATL,117.06,Hartsfield Jackson Atlanta International Airport,Atlanta
1,BHM,262.80,Birmingham-Shuttlesworth International Airport,Birmingham
2,BNA,228.80,Nashville International Airport,Nashville
3,BOS,218.80,General Edward Lawrence Logan International Airport,Boston
4,BUF,142.80,Buffalo Niagara International Airport,Buffalo
5,CHS,218.80,Charleston Air Force Base-International Airport,Charleston
6,CLE,218.80,Cleveland Hopkins International Airport,Cleveland
7,CLT,274.80,Charlotte Douglas International Airport,Charlotte
8,CMH,262.80,John Glenn Columbus International Airport,Columbus
9,CVG,262.80,Cincinnati Northern Kentucky International Airport,Cincinnati
10,DEN,196.80,Denver International Airport,Denver
11,DFW,156.54,Dallas Fort Worth International Airport,Dallas-Fort Worth
12,DSM,368.80,Des Moines International Airport,Des Moines
13,FLL,62.80,Fort Lauderdale Hollywood International Airport,Fort Lauderdale
14,GSO,218.80,Piedmont Triad International Airport,Greensboro
15,IAD,218.80,Washington Dulles International Airport,Washington
16,IND,262.80,Indianapolis International Airport,Indianapolis
17,JAX,124.80,Jacksonville International Airport,Jacksonville
18,MCI,314.80,Kansas City International Airport,Kansas City
19,MCO,82.80,Orlando International Airport,Orlando
20,MEM,262.80,Memphis International Airport,Memphis
21,MIA,110.80,Miami International Airport,Miami
22,MKE,326.80,General Mitchell International Airport,Milwaukee
23,MSP,176.80,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis
24,MSY,218.80,Louis Armstrong New Orleans International Airport,New Orleans
25,MYR,175.88,Myrtle Beach International Airport,Myrtle Beach
26,ORD,110.80,Chicago O'Hare International Airport,Chicago
27,PBI,146.80,Palm Beach International Airport,West Palm Beach
28,PIT,218.80,Pittsburgh International Airport,Pittsburgh
29,PWM,218.80,Portland International Jetport Airport,Portland
30,RDU,210.80,Raleigh Durham International Airport,Raleigh/Durham
31,RIC,218.80,Richmond International Airport,Richmond
32,ROC,142.80,Greater Rochester International Airport,Rochester
33,STL,218.80,St Louis Lambert International Airport,St Louis
34,TPA,50.80,Tampa International Airport,Tampa
